"participant number","treatment","gender","AB","CD","m_ab","m_cd","d_m","choice","y_AB","y_CD","dist_AB","dist_CD","indic_AB","indic_CD","cre_rcre","scaled_value_diff","m_bar","M","scaled_dist_indiff","cons_AB","cons_CD","treatment_f"
61,0,"m","b","d",15,15,0,"bd",0,0,-3,-3,0,0,0,0,15,12,-2.4000000000000004,1,1,"Small stakes"
62,0,"m","a","d",11,22,11,"ad",1,0,1,-10,1,0,1,6.6,16.5,12,-3.6,1,1,"Small stakes"
63,0,"f","b","d",18,21,3,"bd",0,0,-6,-9,0,0,0,1.7999999999999998,19.5,12,-6,1,1,"Small stakes"
64,0,"f","b","c",15,15,0,"bc",0,1,-3,-3,0,0,-1,0,15,12,-2.4000000000000004,1,0,"Small stakes"
65,0,"m","b","d",15,20,5,"bd",0,0,-3,-8,0,0,0,3,17.5,12,-4.4,1,1,"Small stakes"
66,0,"f","a","d",7,20,13,"ad",1,0,5,-8,1,0,1,7.8,13.5,12,-1.2000000000000002,1,1,"Small stakes"
67,0,"m","b","d",15,15,0,"bd",0,0,-3,-3,0,0,0,0,15,12,-2.4000000000000004,1,1,"Small stakes"
68,0,"f","a","d",13,24,11,"ad",1,0,-1,-12,0,0,1,6.6,18.5,12,-5.2,0,1,"Small stakes"
69,0,"m","b","d",15,20,5,"bd",0,0,-3,-8,0,0,0,3,17.5,12,-4.4,1,1,"Small stakes"
70,0,"f","a","d",15,15,0,"ad",1,0,-3,-3,0,0,1,0,15,12,-2.4000000000000004,0,1,"Small stakes"
71,0,"f","a","c",4,11,7,"ac",1,1,8,1,1,1,0,4.2,7.5,12,3.6,1,1,"Small stakes"
72,0,"m","a","c",8,10,2,"ac",1,1,4,2,1,1,0,1.2,9,12,2.4000000000000004,1,1,"Small stakes"
73,0,"m","b","d",15,12,-3,"bd",0,0,-3,0,0,0,0,-1.7999999999999998,13.5,12,-1.2000000000000002,1,0,"Small stakes"
74,0,"m","b","d",14,15,1,"bd",0,0,-2,-3,0,0,0,0.6,14.5,12,-2,1,1,"Small stakes"
75,0,"m","b","d",13,15,2,"bd",0,0,-1,-3,0,0,0,1.2,14,12,-1.6,1,1,"Small stakes"
